"baseline_id","level_id","video_file","event_name","source_path","known_timecode","fill_start_timecode","fill_end_timecode","fill_start_frame","fill_end_frame","fill_keyframe_paths","fill_source_scene","fill_notes","status"
"HELMET-R1-TREE-PROMPT","helmet","helmet_video","头盔-第1关树木提示","参考资料/视频参考/四目头盔视频 .mp4","37:11","37:11","37:11","66930","66930","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","截取提示关键帧。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R1-MERGE-BRIDGE","helmet","helmet_video","头盔-第1关合成桥","参考资料/视频参考/四目头盔视频 .mp4","38:20","38:20","38:20","69000","69000","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","确认黄色效果和高亮帧。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R1-BRIDGE-BUILD","helmet","helmet_video","头盔-第1关桥生成","参考资料/视频参考/四目头盔视频 .mp4","38:26","38:26","38:26","69180","69180","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第1关","确认桥的位置、持续时间和层级。 AI预填：事件归属=四目头盔-过河第1关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R2","helmet","helmet_video","头盔-过河第2关完整流程","参考资料/视频参考/四目头盔视频 .mp4","38:35-44:04","38:35","44:04","69450","79320","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R2-CONTINUOUS","helmet","helmet_video","头盔-第2关连续动画","参考资料/视频参考/四目头盔视频 .mp4","38:35 continuous","38:35","循环段，结束点需人工确认","69450","AI待核","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","确认是否复用第1关动画。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=continuous。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。 无法从时间码计算帧号。","confirmed"
"HELMET-R2-BRIDGE-A","helmet","helmet_video","头盔-第2关第一次合成搭桥","参考资料/视频参考/四目头盔视频 .mp4","40:48","40:48","40:48","73440","73440","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","确认合成对象和桥的位置。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R2-WOOD-PROMPT","helmet","helmet_video","头盔-第2关木字提示","参考资料/视频参考/四目头盔视频 .mp4","43:26","43:26","43:26","78180","78180","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","确认文字和位置。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R2-ONE-TWO-THREE","helmet","helmet_video","头盔-第2关一二三合成","参考资料/视频参考/四目头盔视频 .mp4","43:40","43:40","43:40","78600","78600","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","确认树向右移动三格。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R2-BRIDGE-B","helmet","helmet_video","头盔-第2关第二次合成搭桥","参考资料/视频参考/四目头盔视频 .mp4","43:55","43:55","43:55","79050","79050","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第2关","确认触发时机。 AI预填：事件归属=四目头盔-过河第2关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R3","helmet","helmet_video","头盔-过河第3关完整流程","参考资料/视频参考/四目头盔视频 .mp4","44:05-45:49","44:05","45:49","79350","82470","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第3关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第3关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R3-COLLAPSE","helmet","helmet_video","头盔-第3关桥断裂","参考资料/视频参考/四目头盔视频 .mp4","44:21","44:21","44:21","79830","79830","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第3关","确认变形、下落和最终状态。 AI预填：事件归属=四目头盔-过河第3关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R3-DROWN","helmet","helmet_video","头盔-第3关玩家落水失败","参考资料/视频参考/四目头盔视频 .mp4","44:26","44:26","44:26","79980","79980","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第3关","确认下沉动画和失败文字。 AI预填：事件归属=四目头盔-过河第3关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R3-RESTORE","helmet","helmet_video","头盔-第3关桥恢复","参考资料/视频参考/四目头盔视频 .mp4","45:45","45:45","45:45","82350","82350","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第3关","确认最终碰撞状态。 AI预填：事件归属=四目头盔-过河第3关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R4","helmet","helmet_video","头盔-过河第4关完整流程","参考资料/视频参考/四目头盔视频 .mp4","45:50-46:26","45:50","46:26","82500","83580","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第4关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第4关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R4-BRIDGE-BUILD","helmet","helmet_video","头盔-第4关近处桥生成","参考资料/视频参考/四目头盔视频 .mp4","46:05","46:05","46:05","82950","82950","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第4关","确认桥的位置和可通行状态。 AI预填：事件归属=四目头盔-过河第4关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R4-BRIDGE-SPLIT","helmet","helmet_video","头盔-第4关远处桥拆分","参考资料/视频参考/四目头盔视频 .mp4","46:18","46:18","46:18","83340","83340","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第4关","确认拆分动画。 AI预填：事件归属=四目头盔-过河第4关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R5","helmet","helmet_video","头盔-过河第5关完整流程","参考资料/视频参考/四目头盔视频 .mp4","46:27-49:04","46:27","49:04","83610","88320","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第5关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第5关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R5-PLANT-SPLIT","helmet","helmet_video","头盔-第5关草字拆分","参考资料/视频参考/四目头盔视频 .mp4","48:10","48:10","48:10","86700","86700","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第5关","确认部件位置。 AI预填：事件归属=四目头盔-过河第5关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R5-WATER-GONE","helmet","helmet_video","头盔-第5关最右侧水消失","参考资料/视频参考/四目头盔视频 .mp4","48:56","48:56","48:56","88080","88080","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第5关","确认视觉层级和可通行状态。 AI预填：事件归属=四目头盔-过河第5关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R6","helmet","helmet_video","头盔-过河第6关完整流程","参考资料/视频参考/四目头盔视频 .mp4","49:05-50:19","49:05","50:19","88350","90570","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第6关","拆分关键帧和截图点。 AI预填：事件归属=四目头盔-过河第6关；时间码模式=range。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R6-ME-BIRD","helmet","helmet_video","头盔-第6关我与鸟合成","参考资料/视频参考/四目头盔视频 .mp4","50:06","50:06","50:06","90180","90180","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第6关","确认玩家和对象状态。 AI预填：事件归属=四目头盔-过河第6关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-R6-GOOSE","helmet","helmet_video","头盔-第6关鹅过河","参考资料/视频参考/四目头盔视频 .mp4","50:15","50:15","50:15","90450","90450","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-过河第6关","确认路径、速度、层级和终点。 AI预填：事件归属=四目头盔-过河第6关；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
"HELMET-END","helmet","helmet_video","头盔-结尾流程","参考资料/视频参考/四目头盔视频 .mp4","50:20 onward","50:20","后续到结尾，结束点需人工确认","90600","AI待核","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-结尾恢复","补齐结尾截图和事件。 AI预填：事件归属=四目头盔-结尾恢复；时间码模式=onward。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。 无法从时间码计算帧号。","confirmed"
"HELMET-END-RESTORE","helmet","helmet_video","头盔-结尾恢复玩家","参考资料/视频参考/四目头盔视频 .mp4","50:59","50:59","50:59","91770","91770","AI待核：审核网页中按截图/视频核验后补关键帧路径","四目头盔-结尾恢复","确认最终可控制状态。 AI预填：事件归属=四目头盔-结尾恢复；时间码模式=point。 本地视频元数据：640x360, fps=30, duration=01:22:12。 头盔视频时间轴规则：所有时间码、抽帧和流程分析均使用整章原视频时间；仅 36:50-51:00 片段属于复刻范围，不再换算片段内时间码。","confirmed"
