"source_id","level_id","resource_kind","resource_name","resource_path","matched_reason","file_size","fill_confirmed_level","fill_event_id","fill_source_scene","fill_animation_player","fill_commands","fill_switches","fill_variables","fill_notes","status"
"SRC-00011","core","script","Typewriter.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Typewriter.gd.remap","core script","45","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00012","core","script","Typewriter.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Typewriter.gdc","core script","16588","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00013","core","script","FixedMap.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/FixedMap.gd.remap","core script","43","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00014","core","script","FixedMap.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/FixedMap.gdc","core script","820","core","CORE-SYSTEM","CORE-SYSTEM","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00015","core","script","Event.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Event.gd.remap","core script","40","core","CORE-SYSTEM","2.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：2.tscn -> MAP-CANDIDATE；ch5_giant_bgm_test.tscn -> MAP-CANDIDATE；DC_test_ch1_1.tscn -> MAP-CANDIDATE；font_test.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00016","core","script","Event.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/Event.gdc","core script","31753","core","CORE-SYSTEM","2.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：2.tscn -> MAP-CANDIDATE；ch5_giant_bgm_test.tscn -> MAP-CANDIDATE；DC_test_ch1_1.tscn -> MAP-CANDIDATE；font_test.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00017","core","script","BigEvent.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/BigEvent.gd.remap","core script","43","core","CORE-SYSTEM","ch5_giant_bgm_test.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：ch5_giant_bgm_test.tscn -> MAP-CANDIDATE；font_test.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00018","core","script","BigEvent.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scripts/BigEvent.gdc","core script","13672","core","CORE-SYSTEM","ch5_giant_bgm_test.tscn","不适用","编译脚本 .gdc，当前未反编译；按文件名和资源引用低置信推断。","需反编译 .gdc 后确认","需反编译 .gdc 后确认","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=core、resource_kind=script、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=low；.gdc 编译脚本不可直接阅读，当前只能按文件名、引用和场景依赖推断；如需逐行逻辑需另行反编译。 地图引用证据：ch5_giant_bgm_test.tscn -> MAP-CANDIDATE；font_test.tscn -> MAP-CANDIDATE。 推断事件：CORE-SYSTEM。","ai_analysis_required"
"SRC-00019","sword","scene","Backspace.gd.remap","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/Backspace.gd.remap","sword key resource","54","sword","SWORD-SEG-TUTORIAL","剑关-教学段","未发现 Animation 子资源，需结合节点/引用判断","按文件名、目录和索引命中规则推断。","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=medium；推断事件：SWORD-SEG-TUTORIAL。","ai_analysis_required"
"SRC-00020","sword","scene","Backspace.gdc","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/Backspace.gdc","sword key resource","2343","sword","SWORD-SEG-TUTORIAL","剑关-教学段","未发现 Animation 子资源，需结合节点/引用判断","按文件名、目录和索引命中规则推断。","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=medium；推断事件：SWORD-SEG-TUTORIAL。","ai_analysis_required"
"SRC-00021","sword","scene","Backspace.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/Backspace.tscn","sword key resource","949","sword","SWORD-SEG-TUTORIAL","剑关-教学段","AnimationPlayer：New Anim","解析场景动画：New Anim(1.15s, 1轨)","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：New Anim(1.15s)。 推断事件：SWORD-SEG-TUTORIAL。","confirmed"
"SRC-00022","sword","scene","Backspace_fail.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/Backspace_fail.tscn","sword key resource","706","sword","SWORD-SEG-TUTORIAL","剑关-教学段","AnimationPlayer：fail","解析场景动画：fail(0.8s, 1轨)","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：fail(0.8s)。 推断事件：SWORD-SEG-TUTORIAL。","confirmed"
"SRC-00023","sword","scene","slime.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/slime.tscn","sword key resource","559","sword","SWORD-SEG-SLIME","剑关-史莱姆段","未发现 Animation 子资源，需结合节点/引用判断","解析可读 Godot 资源文本，按外部资源、节点和动画轨道推断。","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=medium；推断事件：SWORD-SEG-SLIME。","ai_analysis_required"
"SRC-00024","sword","scene","slime2.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/slime2.tscn","sword key resource","3448","sword","SWORD-SEG-SLIME","剑关-史莱姆段","AnimationPlayer：slime_move、slime_squeeze","解析场景动画：slime_move(0.35s, 3轨)；slime_squeeze(1.6s, 4轨)","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：slime_move(0.35s)、slime_squeeze(1.6s)。 推断事件：SWORD-SEG-SLIME。","confirmed"
"SRC-00025","sword","scene","slime_move.tres","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/slime_move.tres","sword key resource","1239","sword","SWORD-SEG-SLIME","02_初戰無名怪.tscn","未发现 Animation 子资源，需结合节点/引用判断","解析可读 Godot 资源文本，按外部资源、节点和动画轨道推断。","地图引用链已发现：02_初戰無名怪.tscn -> MAP-CANDIDATE","已结合地图节点、文本和外部资源引用推断","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=medium；地图引用证据：02_初戰無名怪.tscn -> MAP-CANDIDATE。 推断事件：SWORD-SEG-SLIME。","ai_analysis_required"
"SRC-00026","sword","scene","slime_walk_animation.tres","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/slime_walk_animation.tres","sword key resource","701","sword","SWORD-SEG-SLIME","剑关-史莱姆段","未发现 Animation 子资源，需结合节点/引用判断","解析可读 Godot 资源文本，按外部资源、节点和动画轨道推断。","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=medium；推断事件：SWORD-SEG-SLIME。","ai_analysis_required"
"SRC-00027","sword","scene","ch5_slime_cut.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/ch5_slime_cut.tscn","sword key resource","10887","sword","SWORD-SEG-SLIME","03_魔龍城外_門前.tscn","AnimationPlayer：Loop、Std、Loop、Std、default","解析场景动画：Loop(?s, 2轨)；Std(0.1s, 2轨)；Loop(?s, 2轨)；Std(0.1s, 2轨)；default(0.1s, 3轨)","地图引用链已发现：03_魔龍城外_門前.tscn -> MAP-CANDIDATE","已结合地图节点、文本和外部资源引用推断","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：Loop(?s)、Std(0.1s)、Loop(?s)、Std(0.1s)、default(0.1s)。 地图引用证据：03_魔龍城外_門前.tscn -> MAP-CANDIDATE。 推断事件：SWORD-SEG-SLIME。","confirmed"
"SRC-00028","sword","scene","snake_hurt.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/snake_hurt.tscn","sword key resource","15599","sword","SWORD-SEG-SNAKE","剑关-蛇妖段","AnimationPlayer：hurt、hurt、hurt、hurt、hurt、hurt、hurt、hurt、really_hurt","解析场景动画：hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；hurt(0.5s, 3轨)；really_hurt(1.5s, 9轨)","未在可读资源中直接发现","未在可读资源中直接发现","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、hurt(0.5s)、really_hurt(1.5s)。 推断事件：SWORD-SEG-SNAKE。","confirmed"
"SRC-00029","sword","scene","snake_ray.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/snake_ray.tscn","sword key resource","9157","sword","SWORD-SEG-SNAKE","10_修復村莊.tscn","AnimationPlayer：default、default、default、default、hit","解析场景动画：default(0.5s, 2轨)；default(0.5s, 2轨)；default(0.5s, 2轨)；default(0.5s, 2轨)；hit(0.5s, 6轨)","地图引用链已发现：10_修復村莊.tscn -> 剑关-蛇妖段；11_再戰蛇妖_test.tscn -> 剑关-蛇妖段","已结合地图节点、文本和外部资源引用推断","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：default(0.5s)、default(0.5s)、default(0.5s)、default(0.5s)、hit(0.5s)。 地图引用证据：10_修復村莊.tscn -> 剑关-蛇妖段；11_再戰蛇妖_test.tscn -> 剑关-蛇妖段。 推断事件：SWORD-SEG-SNAKE。","confirmed"
"SRC-00030","sword","scene","ch5_snake_circle.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/ch5_snake_circle.tscn","sword key resource","23146","sword","SWORD-SEG-SNAKE","11_蛇妖_四階.tscn","AnimationPlayer：Breathe、Setup、default、CircleB、CircleIn、Setup、Stare、default","解析场景动画：Breathe(5.0s, 1轨)；Setup(0.001s, 1轨)；default(3.0s, 9轨)；CircleB(3.0s, 9轨)；CircleIn(4.0s, 9轨)；Setup(0.001s, 9轨)；Stare(?s, 10轨)；default(3.0s, 9轨)","地图引用链已发现：11_蛇妖_四階.tscn -> 剑关-蛇妖段","已结合地图节点、文本和外部资源引用推断","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：Breathe(5.0s)、Setup(0.001s)、default(3.0s)、CircleB(3.0s)、CircleIn(4.0s)、Setup(0.001s)、Stare(?s)、default(3.0s)。 地图引用证据：11_蛇妖_四階.tscn -> 剑关-蛇妖段。 推断事件：SWORD-SEG-SNAKE。","confirmed"
"SRC-00031","sword","scene","ch5_snake_stair.tscn","参考资料/文字游戏源码/文字遊戲_pck/res/Scenes/Animations/ch5_snake_stair.tscn","sword key resource","11713","sword","SWORD-SEG-SNAKE","05_蛇妖_蛇型樓梯.tscn","AnimationPlayer：SnakeAppear","解析场景动画：SnakeAppear(5.0s, 6轨)","地图引用链已发现：05_蛇妖_蛇型樓梯.tscn -> 剑关-蛇妖段","已结合地图节点、文本和外部资源引用推断","Resource indexed. Source ownership and behavior mapping are assigned to AI analysis, not human manual review. AI预填：按 level_id=sword、resource_kind=scene、路径关键词推断；源码归属后续由 AI 自动深入分析，不分配给人工组员。 AI源码分析：confidence=high；可读场景含动画：SnakeAppear(5.0s)。 地图引用证据：05_蛇妖_蛇型樓梯.tscn -> 剑关-蛇妖段。 推断事件：SWORD-SEG-SNAKE。","confirmed"
